location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#severity+v_ipc,#period+v_ipc,#affected+num,#affected+pct,#date+start,#date+end
PSE,False,True,,,,,,,0,3,current,577963,0.26,2024-02-01,2024-03-31
PSE,False,True,,,,,,,0,4,current,875618,0.39,2024-02-01,2024-03-31
PSE,False,True,,,,,,,0,5,current,676636,0.3,2024-02-01,2024-03-31
PSE,False,True,,,,,,,0,all,first projection,2226544,1.0,2024-03-01,2024-07-31
PSE,False,True,,,,,,,0,3+,first projection,2226544,1.0,2024-03-01,2024-07-31
PSE,False,True,,,,,,,0,1,first projection,0,0.0,2024-03-01,2024-07-31
PSE,False,True,,,,,,,0,2,first projection,0,0.0,2024-03-01,2024-07-31
PSE,False,True,,,,,,,0,3,first projection,265309,0.12,2024-03-01,2024-07-31
PSE,False,True,,,,,,,0,4,first projection,854290,0.38,2024-03-01,2024-07-31
PSE,False,True,,,,,,,0,5,first projection,1106945,0.5,2024-03-01,2024-07-31
PSE,False,True,,,,,,,0,all,current,2226544,1.0,2023-11-01,2023-12-31
PSE,False,True,,,,,,,0,3+,current,2082400,0.93,2023-11-01,2023-12-31
PSE,False,True,,,,,,,0,1,current,0,0.0,2023-11-01,2023-12-31
PSE,False,True,,,,,,,0,2,current,144700,0.07,2023-11-01,2023-12-31
PSE,False,True,,,,,,,0,3,current,766000,0.34,2023-11-01,2023-12-31
PSE,False,True,,,,,,,0,4,current,938600,0.42,2023-11-01,2023-12-31
PSE,False,True,,,,,,,0,5,current,377800,0.17,2023-11-01,2023-12-31
PSE,False,True,,,,,,,0,all,first projection,2226544,1.0,2023-12-01,2024-02-29
PSE,False,True,,,,,,,0,3+,first projection,2224000,1.0,2023-12-01,2024-02-29
PSE,False,True,,,,,,,0,1,first projection,0,0.0,2023-12-01,2024-02-29
PSE,False,True,,,,,,,0,2,first projection,2500,0.0,2023-12-01,2024-02-29
PSE,False,True,,,,,,,0,3,first projection,477800,0.21,2023-12-01,2024-02-29
PSE,False,True,,,,,,,0,4,first projection,1169600,0.53,2023-12-01,2024-02-29
PSE,False,True,,,,,,,0,5,first projection,576600,0.26,2023-12-01,2024-02-29
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,all,current,482315,1.0,2025-07-01,2025-08-31
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,3+,current,482315,1.0,2025-07-01,2025-08-31
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,1,current,0,0.0,2025-07-01,2025-08-31
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,2,current,0,0.0,2025-07-01,2025-08-31
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,3,current,96463,0.2,2025-07-01,2025-08-31
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,4,current,265273,0.55,2025-07-01,2025-08-31
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,5,current,120579,0.25,2025-07-01,2025-08-31
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,all,first projection,482315,1.0,2025-08-01,2025-09-30
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,3+,first projection,482316,1.0,2025-08-01,2025-09-30
PSE,False,True,,Deir al-Balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,1,first projection,0,0.0,2025-08-01,2025-09-30
