location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#gender+code,#age+range,#age+min,#age+max,#population,#date+start,#date+end
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,15-19,15,19,160358,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,20-24,20,24,147822,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,25-29,25,29,138811,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,30-34,30,34,123145,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,35-39,35,39,97274,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,40-44,40,44,80836,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,45-49,45,49,72118,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,50-54,50,54,61762,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,55-59,55,59,50568,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,60-64,60,64,39465,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,65-69,65,69,26009,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,70-74,70,74,17184,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,75-79,75,79,11033,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,f,80+,80,None,11853,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,0-4,0,4,210329,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,5-9,5,9,195187,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,10-14,10,14,181185,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,15-19,15,19,166901,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,20-24,20,24,153660,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,25-29,25,29,147052,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,30-34,30,34,130605,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,35-39,35,39,99269,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,40-44,40,44,81206,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,45-49,45,49,74284,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,50-54,50,54,64380,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,55-59,55,59,53308,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,60-64,60,64,41216,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,65-69,65,69,26168,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,70-74,70,74,16143,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,75-79,75,79,9206,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,m,80+,80,None,7875,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,0-4,0,4,413194,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,5-9,5,9,380496,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,10-14,10,14,353705,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,15-19,15,19,327259,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,20-24,20,24,301482,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,25-29,25,29,285863,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,30-34,30,34,253750,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,35-39,35,39,196543,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,40-44,40,44,162042,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,45-49,45,49,146402,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,50-54,50,54,126142,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,55-59,55,59,103876,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,60-64,60,64,80681,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,65-69,65,69,52177,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,70-74,70,74,33327,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,75-79,75,79,20239,2023-01-01,2023-12-31
PSE,False,True,West Bank,,PS01,West Bank,,,1,all,80+,80,None,19728,2023-01-01,2023-12-31
